timestamp_utc,events,multiplicity_hg_mean,multiplicity_hg_std,multiplicity_lg_mean,multiplicity_lg_std,multiplicity_hg_sem,multiplicity_lg_sem,timestamp_local
2026-02-19 23:48:00+00:00,114,2.6667,0.9281,2.2105,0.4699,0.0869,0.044,2026-02-19 15:48:00-08:00
2026-02-19 23:49:00+00:00,118,2.678,0.8661,2.2203,0.4916,0.0797,0.0453,2026-02-19 15:49:00-08:00
2026-02-19 23:50:00+00:00,119,2.8403,0.9913,2.2353,0.5924,0.0909,0.0543,2026-02-19 15:50:00-08:00
2026-02-19 23:51:00+00:00,134,2.6119,0.9412,2.194,0.631,0.0813,0.0545,2026-02-19 15:51:00-08:00
2026-02-19 23:52:00+00:00,132,2.7197,0.8851,2.197,0.4695,0.077,0.0409,2026-02-19 15:52:00-08:00
2026-02-19 23:53:00+00:00,114,2.7632,0.9341,2.2456,0.5248,0.0875,0.0492,2026-02-19 15:53:00-08:00
2026-02-19 23:54:00+00:00,131,2.6947,0.8494,2.2137,0.5548,0.0742,0.0485,2026-02-19 15:54:00-08:00
2026-02-19 23:55:00+00:00,115,2.713,0.781,2.1913,0.4937,0.0728,0.046,2026-02-19 15:55:00-08:00
2026-02-19 23:56:00+00:00,129,2.8062,0.9928,2.2791,0.586,0.0874,0.0516,2026-02-19 15:56:00-08:00
2026-02-19 23:57:00+00:00,105,2.6952,0.8335,2.1619,0.4625,0.0813,0.0451,2026-02-19 15:57:00-08:00
2026-02-19 23:58:00+00:00,135,2.6963,0.8488,2.2,0.47,0.0731,0.0405,2026-02-19 15:58:00-08:00
2026-02-19 23:59:00+00:00,106,2.6415,0.9481,2.1698,0.609,0.0921,0.0592,2026-02-19 15:59:00-08:00
2026-02-20 00:00:00+00:00,123,2.8211,0.9498,2.2358,0.6017,0.0856,0.0542,2026-02-19 16:00:00-08:00
2026-02-20 00:01:00+00:00,115,2.9739,1.5187,2.3217,1.3215,0.1416,0.1232,2026-02-19 16:01:00-08:00
2026-02-20 00:02:00+00:00,113,2.6637,0.841,2.1504,0.5039,0.0791,0.0474,2026-02-19 16:02:00-08:00
2026-02-20 00:03:00+00:00,120,2.8333,1.0317,2.2167,0.5374,0.0942,0.0491,2026-02-19 16:03:00-08:00
2026-02-20 00:04:00+00:00,127,2.7008,0.8098,2.1969,0.4886,0.0719,0.0434,2026-02-19 16:04:00-08:00
2026-02-20 00:05:00+00:00,100,2.75,0.8454,2.24,0.5341,0.0845,0.0534,2026-02-19 16:05:00-08:00
2026-02-20 00:06:00+00:00,130,2.6769,0.8556,2.2154,0.5132,0.075,0.045,2026-02-19 16:06:00-08:00
2026-02-20 00:07:00+00:00,128,2.7344,0.8083,2.2188,0.4685,0.0714,0.0414,2026-02-19 16:07:00-08:00
2026-02-20 00:08:00+00:00,114,2.8684,0.9455,2.2105,0.54,0.0886,0.0506,2026-02-19 16:08:00-08:00
2026-02-20 00:09:00+00:00,118,2.6695,0.8171,2.2119,0.4866,0.0752,0.0448,2026-02-19 16:09:00-08:00
2026-02-20 00:10:00+00:00,128,2.6875,0.83,2.2031,0.5229,0.0734,0.0462,2026-02-19 16:10:00-08:00
2026-02-20 00:11:00+00:00,89,2.7416,0.9831,2.2135,0.5106,0.1042,0.0541,2026-02-19 16:11:00-08:00
2026-02-20 00:12:00+00:00,111,2.7658,0.8734,2.2432,0.5595,0.0829,0.0531,2026-02-19 16:12:00-08:00
2026-02-20 00:13:00+00:00,109,2.7706,0.9193,2.1835,0.4339,0.0881,0.0416,2026-02-19 16:13:00-08:00
2026-02-20 00:14:00+00:00,124,2.5968,0.8546,2.2016,0.5407,0.0767,0.0486,2026-02-19 16:14:00-08:00
2026-02-20 00:15:00+00:00,109,2.5596,0.7985,2.1651,0.4814,0.0765,0.0461,2026-02-19 16:15:00-08:00
2026-02-20 00:16:00+00:00,106,2.717,0.7654,2.1981,0.4864,0.0743,0.0472,2026-02-19 16:16:00-08:00
2026-02-20 00:17:00+00:00,127,2.6378,0.7935,2.189,0.4997,0.0704,0.0443,2026-02-19 16:17:00-08:00
2026-02-20 00:18:00+00:00,125,2.84,0.8926,2.272,0.5733,0.0798,0.0513,2026-02-19 16:18:00-08:00
2026-02-20 00:19:00+00:00,107,2.7664,0.9274,2.1402,0.3749,0.0897,0.0362,2026-02-19 16:19:00-08:00
2026-02-20 00:20:00+00:00,101,2.7822,1.0159,2.1683,0.4488,0.1011,0.0447,2026-02-19 16:20:00-08:00
