TStampPC,Brd,TStamp_servEvt,BrdTemp,DetTemp,FPGATemp,HVTemp,Vmon,Imon,HVstatus,BrdStatus,timestamp_utc
1771537381035,0,1771537380666,35.5,26.9,39.9,32.1,57.002,0.006,1,0x44D,2026-02-19 21:43:01.035000+00:00
1771537382036,0,1771537381739,35.5,26.9,39.9,32.1,57.002,0.006,1,0x44D,2026-02-19 21:43:02.036000+00:00
1771537383037,0,1771537382813,35.5,26.9,39.9,32.1,57.002,0.005,1,0x44D,2026-02-19 21:43:03.037000+00:00
1771537384038,0,1771537383887,35.5,26.9,39.9,32.1,57.006,0.006,1,0x44D,2026-02-19 21:43:04.038000+00:00
1771537385039,0,1771537384960,35.5,26.9,39.7,32.1,56.999,0.006,1,0x44D,2026-02-19 21:43:05.039000+00:00
1771537386040,0,1771537386034,35.5,26.9,40.0,32.1,56.999,0.007,1,0x44D,2026-02-19 21:43:06.040000+00:00
1771537387041,0,1771537386034,35.5,26.9,40.0,32.1,56.999,0.007,1,0x44D,2026-02-19 21:43:07.041000+00:00
1771537388042,0,1771537387108,35.5,26.9,39.7,32.1,56.999,0.006,1,0x44D,2026-02-19 21:43:08.042000+00:00
1771537389043,0,1771537388182,35.5,26.9,39.9,32.2,56.996,0.006,1,0x44D,2026-02-19 21:43:09.043000+00:00
1771537390044,0,1771537389255,35.5,26.9,39.9,32.2,57.0,0.006,1,0x44D,2026-02-19 21:43:10.044000+00:00
1771537391045,0,1771537390329,35.5,26.9,40.2,32.2,57.0,0.006,1,0x44D,2026-02-19 21:43:11.045000+00:00
1771537392046,0,1771537391403,35.5,26.9,40.1,32.2,56.996,0.007,1,0x44D,2026-02-19 21:43:12.046000+00:00
1771537393047,0,1771537392477,35.5,26.9,40.1,32.2,57.0,0.006,1,0x44D,2026-02-19 21:43:13.047000+00:00
1771537394048,0,1771537393550,35.5,26.9,40.1,32.2,57.0,0.006,1,0x44D,2026-02-19 21:43:14.048000+00:00
1771537395049,0,1771537394624,36.0,26.9,40.0,32.2,57.0,0.006,1,0x44D,2026-02-19 21:43:15.049000+00:00
1771537396050,0,1771537395698,36.0,26.9,40.1,32.3,57.001,0.007,1,0x44D,2026-02-19 21:43:16.050000+00:00
1771537397051,0,1771537396771,36.0,26.9,40.1,32.3,57.001,0.005,1,0x44D,2026-02-19 21:43:17.051000+00:00
1771537398052,0,1771537397845,36.0,26.9,39.9,32.3,57.001,0.007,1,0x44D,2026-02-19 21:43:18.052000+00:00
1771537399053,0,1771537398919,36.0,26.9,40.1,32.3,57.001,0.006,1,0x44D,2026-02-19 21:43:19.053000+00:00
1771537400054,0,1771537399993,36.0,26.9,40.1,32.3,56.997,0.006,1,0x44D,2026-02-19 21:43:20.054000+00:00
1771537401055,0,1771537399993,36.0,26.9,40.1,32.3,56.997,0.006,1,0x44D,2026-02-19 21:43:21.055000+00:00
1771537402056,0,1771537401097,36.0,26.9,40.1,32.3,56.997,0.007,1,0x44D,2026-02-19 21:43:22.056000+00:00
1771537403057,0,1771537402140,36.0,26.9,40.1,32.4,57.002,0.006,1,0x44D,2026-02-19 21:43:23.057000+00:00
1771537404058,0,1771537403214,36.0,26.9,40.2,32.4,56.998,0.006,1,0x44D,2026-02-19 21:43:24.058000+00:00
1771537405059,0,1771537404288,36.0,26.9,40.1,32.4,56.998,0.006,1,0x44D,2026-02-19 21:43:25.059000+00:00
1771537406060,0,1771537405361,36.0,26.9,40.0,32.4,57.002,0.005,1,0x44D,2026-02-19 21:43:26.060000+00:00
1771537407061,0,1771537406435,36.0,26.9,40.0,32.4,56.998,0.007,1,0x44D,2026-02-19 21:43:27.061000+00:00
1771537408062,0,1771537407509,36.0,26.9,40.4,32.4,56.998,0.007,1,0x44D,2026-02-19 21:43:28.062000+00:00
1771537409063,0,1771537408583,36.0,26.8,40.2,32.4,56.998,0.006,1,0x44D,2026-02-19 21:43:29.063000+00:00
1771537410064,0,1771537409656,36.0,26.8,40.1,32.5,56.999,0.007,1,0x44D,2026-02-19 21:43:30.064000+00:00
1771537411065,0,1771537410730,36.0,26.8,40.1,32.5,56.999,0.005,1,0x44D,2026-02-19 21:43:31.065000+00:00
1771537412066,0,1771537411804,36.0,26.8,40.2,32.5,56.999,0.006,1,0x44D,2026-02-19 21:43:32.066000+00:00
1771537413067,0,1771537412877,36.0,26.8,40.4,32.5,57.003,0.006,1,0x44D,2026-02-19 21:43:33.067000+00:00
1771537414068,0,1771537413951,36.0,26.8,40.4,32.5,57.003,0.006,1,0x44D,2026-02-19 21:43:34.068000+00:00
1771537415069,0,1771537415025,36.0,26.8,40.5,32.5,57.003,0.006,1,0x44D,2026-02-19 21:43:35.069000+00:00
1771537416070,0,1771537415025,36.0,26.8,40.5,32.5,57.003,0.006,1,0x44D,2026-02-19 21:43:36.070000+00:00
1771537417071,0,1771537416113,36.0,26.8,40.5,32.5,56.999,0.006,1,0x44D,2026-02-19 21:43:37.071000+00:00
1771537418072,0,1771537417172,36.0,26.8,40.2,32.5,57.003,0.006,1,0x44D,2026-02-19 21:43:38.072000+00:00
1771537419073,0,1771537418246,36.0,26.8,40.5,32.6,57.0,0.006,1,0x44D,2026-02-19 21:43:39.073000+00:00
1771537420074,0,1771537419320,36.0,26.8,40.4,32.6,57.0,0.006,1,0x44D,2026-02-19 21:43:40.074000+00:00
1771537421075,0,1771537420394,36.0,26.8,40.5,32.6,57.0,0.006,1,0x44D,2026-02-19 21:43:41.075000+00:00
1771537422076,0,1771537421467,36.0,26.8,40.6,32.6,57.0,0.006,1,0x44D,2026-02-19 21:43:42.076000+00:00
1771537423077,0,1771537422541,36.0,26.8,40.5,32.6,57.0,0.006,1,0x44D,2026-02-19 21:43:43.077000+00:00
1771537424078,0,1771537423615,36.0,26.8,40.4,32.6,57.0,0.006,1,0x44D,2026-02-19 21:43:44.078000+00:00
1771537425079,0,1771537424688,36.0,26.8,40.5,32.6,57.0,0.006,1,0x44D,2026-02-19 21:43:45.079000+00:00
1771537426080,0,1771537425762,36.0,26.8,40.5,32.8,57.001,0.007,1,0x44D,2026-02-19 21:43:46.080000+00:00
1771537427081,0,1771537426836,36.5,26.8,40.5,32.8,57.001,0.005,1,0x44D,2026-02-19 21:43:47.081000+00:00
1771537428082,0,1771537427910,36.5,26.8,40.7,32.8,56.998,0.006,1,0x44D,2026-02-19 21:43:48.082000+00:00
1771537429083,0,1771537428983,36.5,26.8,40.5,32.8,57.001,0.006,1,0x44D,2026-02-19 21:43:49.083000+00:00
1771537430084,0,1771537430057,36.5,26.8,40.5,32.8,57.001,0.007,1,0x44D,2026-02-19 21:43:50.084000+00:00
1771537431085,0,1771537430057,36.5,26.8,40.5,32.8,57.001,0.007,1,0x44D,2026-02-19 21:43:51.085000+00:00
1771537432086,0,1771537431131,36.5,26.8,40.9,32.8,56.998,0.006,1,0x44D,2026-02-19 21:43:52.086000+00:00
1771537433087,0,1771537432205,36.5,26.8,40.7,32.8,57.001,0.006,1,0x44D,2026-02-19 21:43:53.087000+00:00
1771537434088,0,1771537433278,36.5,26.8,40.6,32.9,57.002,0.007,1,0x44D,2026-02-19 21:43:54.088000+00:00
